day_raw,dens_0,dens_1
0.111821086,97.37827715,50.56179775
1.118210863,78.65168539,69.28838951
2.124600639,116.1048689,106.741573
3.130990415,172.2846442,172.2846442
3.913738019,228.4644195,237.8277154
6.038338658,322.0973783,322.0973783
7.156549521,340.82397,415.7303371
8.162939297,378.2771536,481.2734082
9.057507987,443.8202247,490.6367041
10.06389776,528.0898876,500
11.18210863,556.1797753,621.7228464
14.08945687,649.8127341,808.988764
16.10223642,715.3558052,771.5355805
18.00319489,762.1722846,949.4382022
20.91054313,837.0786517,911.9850187
22.14057508,818.3520599,893.258427
24.04153355,837.0786517,902.6217228
25.15974441,818.3520599,1005.617978
27.95527157,874.5318352,874.5318352
30.0798722,808.988764,827.7153558
32.09265176,734.082397,874.5318352
35,762.1722846,930.7116105
38.01916933,808.988764,930.7116105
42.04472843,837.0786517,1033.707865
44.95207668,1005.617978,1024.344569
48.97763578,1089.88764,911.9850187
50.87859425,1277.153558,911.9850187
53.00319489,1558.052434,780.8988764
55.91054313,1651.685393,902.6217228
57.92332268,1426.966292,902.6217228
59.82428115,1417.602996,715.3558052
62.84345048,1445.692884,490.6367041
