day_raw,dens
1.093274472,21.03608575
3.886826528,80.82806595
5.95531922,149.4277783
8.017123173,173.8283001
11.05080098,220.371225
12.99220762,249.1863148
14.93628976,295.6810809
17.96628875,317.914451
19.90869871,353.3594194
21.9654861,344.6105481
24.88177653,415.457677
26.93120631,358.089696
28.99267583,380.2802582
31.90428414,420.1879536
34.08113441,404.8145547
36.02019999,418.1599278
39.04585131,411.663824
41.22370489,402.9203037
43.04605197,444.9897997
45.95264372,451.7481021
48.12581519,412.0651483
50.06956289,456.3499549
