day_raw,dens_0,dens_1
0.084230755,76.77165354,135.8267717
1.043837428,214.5669291,76.77165354
2.081435542,332.6771654,66.92913386
3.037298626,411.4173228,185.0393701
4.065537767,381.8897638,332.6771654
6.054007512,500,175.1968504
7.089109899,578.7401575,116.1417323
8.041229395,598.4251969,76.77165354
9.07570785,667.3228346,57.08661417
10.11081024,746.0629921,57.08661417
11.06604939,814.9606299,47.24409449
14.09024545,1021.653543,57.08661417
16.08308272,1208.661417,47.24409449
18.08527896,1543.307087,47.24409449
21.17810749,1582.677165,47.24409449
22.05285948,1631.889764,47.24409449
23.08109862,1602.362205,47.24409449
24.11370528,1641.732283,47.24409449
25.06956836,1720.472441,37.4015748
28.08565332,1799.212598,27.55905512
30.06351623,1750,57.08661417
32.12249024,1730.314961,27.55905512
35.05995982,1818.897638,37.4015748
38.06980546,1799.212598,37.4015748
42.06109537,2261.811024,47.24409449
45.06345384,2124.015748,47.24409449
