day_raw,dens_0,dens_1
0,25.71428571,25.71428571
0.995260664,25.71428571,25.71428571
2.985781991,35.51020408,55.10204082
6.192733017,79.59183673,69.79591837
8.072669826,113.877551,35.51020408
10.06319115,138.3673469,35.51020408
13.15955766,202.0408163,45.30612245
15.15007899,280.4081633,55.10204082
17.14060032,368.5714286,35.51020408
20.12638231,442.0408163,45.30612245
22.11690363,417.5510204,35.51020408
24.10742496,442.0408163,64.89795918
27.09320695,422.4489796,84.48979592
28.97314376,363.6734694,69.79591837
31.07424961,388.1632653,79.59183673
34.0600316,353.877551,64.89795918
36.05055292,378.3673469,60
37.93048973,373.4693878,60
41.02685624,388.1632653,55.10204082
43.01737757,368.5714286,50.20408163
45.00789889,388.1632653,64.89795918
49.98420221,388.1632653,104.0816327
51.97472354,353.877551,89.3877551
54.96050553,358.7755102,89.3877551
56.95102686,368.5714286,104.0816327
58.94154818,348.9795918,99.18367347
61.92733017,329.3877551,108.9795918
64.02843602,339.1836735,118.7755102
65.90837283,329.3877551,138.3673469
