day_raw,dens
0.13907767,112.5
0.862864078,187.5
2.021359223,300
3.030582524,475
4.036165049,712.5
6.045145631,1225
7.043446602,1587.5
7.904126214,1812.5
8.925728155,1775
9.940776699,1850
10.95873786,1875
12.8526699,1862.5
13.99951456,2175
14.87985437,2062.5
15.88907767,2237.5
16.91650485,2100
17.91043689,2537.5
20.98325243,2287.5
21.86359223,2175
22.87208738,2362.5
23.87184466,2700
24.90364078,2487.5
27.82864078,2275
29.86019417,2400
