day_raw,dens_0,dens_1
0.447284345,121.5139442,91.63346614
1.118210863,121.5139442,221.1155378
2.124600639,161.3545817,330.6772908
3.019169329,181.2749004,490.0398406
4.137380192,231.0756972,629.4820717
6.038338658,350.5976096,689.2430279
7.044728435,380.4780876,669.3227092
8.162939297,390.438247,719.123506
9.169329073,450.1992032,1187.250996
10.06389776,519.9203187,1127.49004
11.07028754,549.8007968,1286.85259
14.08945687,559.7609562,1525.896414
15.99041534,539.8406375,1834.661355
18.11501597,549.8007968,1814.741036
21.02236422,589.6414343,2143.426295
22.02875399,559.7609562,1944.223108
23.03514377,519.9203187,2083.665339
24.04153355,500,2033.864542
25.04792332,579.6812749,2183.266932
28.06709265,509.9601594,2083.665339
29.96805112,519.9203187,2163.346614
31.98083067,509.9601594,2143.426295
34.88817891,500,2033.864542
38.01916933,480.0796813,1984.063745
41.93290735,460.1593625,2262.948207
44.84025559,500,2382.47012
48.8658147,470.1195219,2033.864542
50.87859425,470.1195219,2362.549801
52.8913738,470.1195219,1984.063745
55.79872204,500,2203.187251
57.8115016,529.8804781,2183.266932
59.82428115,490.0398406,2113.545817
62.73162939,470.1195219,1994.023904
