day_raw,dens_1,dens_0
1.139240506,43.33752053,2.130640642
4.082278481,56.62865977,1.652333559
6.075949367,97.54565659,1.362450478
8.069620253,143.0428061,1.058073244
11.01265823,183.8148613,0.608754469
13.00632911,210.9914001,4.884529906
15,233.5877863,4.580152672
17.94303797,219.3980095,4.130833897
20.03164557,237.3997488,8.39211518
21.93037975,282.9113924,17.24804329
24.96835443,250.3865108,48.85979322
26.96202532,222.6012175,76.03633201
28.9556962,213.1365349,112.3731762
31.99367089,166.8711953,162.2910426
33.89240506,120.7797855,198.6133926
35.98101266,125.0410668,207.4838149
38.92405063,51.30930525,261.9963281
40.82278481,18.95835346,302.913325
42.91139241,23.21963475,302.6089477
45.94936709,13.59551648,306.7397816
47.94303797,45.35220794,256.0392308
49.93670886,58.78828872,278.6501111
52.97468354,21.68325442,282.7519567
54.87341772,21.39337134,300.7681902
56.86708861,2.768383419,295.8981544
