day_raw,dens_0,dens_1
0.078988942,14.06990521,9.382405213
1.184834123,13.96623223,23.34863744
4.107424961,65.25473934,107.4496445
6.003159558,74.45201422,130.694609
7.977883096,74.26688389,144.5719787
11.05845182,64.60308057,158.3530806
12.95418641,50.36285545,176.9179502
15.00789889,50.17031991,218.9203199
18.00947867,21.7639218,223.3264218
19.98420221,16.89129147,241.8912915
21.95892575,16.70616114,269.8311611
24.88151659,16.43216825,264.862263
26.93522907,16.2396327,292.8021327
28.90995261,16.05450237,311.3595972
31.91153239,15.77310427,297.0156991
35.86097946,10.7153436,329.4579384
38.86255924,10.4339455,324.4890403
40.83728278,10.24881517,338.36641
42.89099526,10.05627962,352.2437796
45.8135861,9.78228673,323.8447867
47.86729858,18.96475118,328.3397512
49.84202212,18.77962085,309.3972156
