day_raw,dens
0,123.1155779
0.920502092,160.8040201
2.071129707,236.1809045
2.991631799,336.6834171
4.142259414,424.6231156
5.983263598,763.8190955
7.133891213,864.321608
8.054393305,1040.201005
8.974895397,1178.39196
10.12552301,1379.396985
11.0460251,1567.839196
14.0376569,1768.844221
14.958159,1793.969849
16.10878661,1907.035176
17.0292887,1982.41206
17.94979079,2095.477387
20.0209205,2120.603015
21.17154812,2108.040201
22.09205021,2070.351759
23.24267782,2007.537688
24.85355649,2082.914573
29.91631799,1894.472362
31.9874477,1894.472362
34.9790795,2032.663317
38.20083682,2195.979899
42.11297071,2309.045226
43.0334728,2271.356784
43.9539749,2020.100503
46.0251046,2296.482412
