day_raw,dens_0,dens_1
0.000947167,6.05239728,6.05239728
1.180170111,5.711417151,5.73414916
3.938004761,101.2995132,33.80817973
5.903692057,105.5503988,86.2736555
8.023767578,66.383148,162.7668643
11.00797515,17.32747353,161.903048
12.89441613,11.96271951,291.4300328
14.93808685,6.552501468,310.1384758
18.00375078,0.846767319,299.6362879
19.96943808,5.09765292,380.9714145
22.01342451,4.506620697,489.7895395
25.00078931,3.642804372,404.4990434
27.04477574,3.05177215,469.944496
29.01014732,2.483471935,502.7922484
32.07612697,1.596923602,443.8026862
36.08548498,0.437591165,433.3004982
39.0731655,4.392960655,408.6135369
41.11715193,3.801928432,465.8754665
43.16113837,3.210896209,421.6389778
46.14850316,2.347079884,464.4433499
48.11387473,1.77877967,410.8640058
50.00063144,1.233211465,408.4316808
