day_raw,dens
2.054455916,150.6702413
4.922391446,255.7640751
6.81998238,277.2117962
9.063310073,268.6327078
12.03297017,317.9624665
14.04496162,326.541555
16.05251649,320.1072386
19.00823303,322.2520107
21.02085829,332.9758713
24.09604573,339.4101877
25.98666489,337.2654155
27.75908074,335.1206434
30.36589153,356.5683646
32.96256156,343.6997319
35.10923507,408.0428954
36.98971346,371.5817694
39.93275404,330.8310992
41.95488626,373.7265416
44.08317964,375.8713137
47.04269897,390.8847185
