day_raw,dens
0.145527414,83.83561644
3.144443349,88.21917808
5.188725732,107.9452055
7.234322131,132.0547945
10.12975921,191.2328767
12.18389672,243.8356164
14.24000526,303.0136986
17.24023521,311.7808219
19.16067146,318.3561644
22.0534805,368.7671233
24.2130679,373.1506849
26.1295621,366.5753425
28.15347722,318.3561644
31.16093427,351.2328767
33.07282941,329.3150685
35.12171085,364.3835616
38.13508098,416.9863014
40.17607832,425.7534247
42.21773266,436.7123288
45.33720968,443.2876712
47.01783778,449.8630137
49.17216911,436.7123288
