day_raw,dens
0.155372664,66.31541164
0.89762326,104.1330154
1.797554034,180.281004
2.8467041,281.8757531
3.896623337,370.7150732
5.987231751,701.4588621
6.881009153,879.6502833
8.087839397,866.3820732
8.831628336,1031.882163
10.03384355,1095.146527
10.93377433,1171.294516
12.88439351,1323.526395
13.92815937,1514.409148
14.98730867,1450.183319
16.03338205,1602.799785
16.93254365,1691.703202
17.98400123,1755.031664
21.13914314,1932.261621
21.89754634,1855.408558
23.10360741,1854.895777
24.00969156,1829.000333
25.06037997,1905.084224
28.2178294,2044.047894
30.02538266,2068.78958
