day_raw,dens
0.147058824,110.5527638
0.882352941,198.4924623
1.764705882,311.5577889
2.941176471,474.8743719
3.970588235,613.0653266
5.882352941,1002.512563
6.911764706,1178.39196
7.941176471,1304.020101
8.970588235,1567.839196
10,2070.351759
11.02941176,2007.537688
12.94117647,1982.41206
13.97058824,2409.547739
15,2120.603015
16.02941176,2409.547739
16.91176471,2535.175879
17.94117647,2585.427136
21.02941176,2610.552764
21.91176471,2698.492462
22.94117647,2547.738693
23.97058824,2635.678392
24.85294118,2447.236181
27.94117647,2522.613065
29.85294118,2472.361809
